metrocast_location_id,age,population
clt-area,75,19447
clt-area,76,18957
clt-area,77,20025
clt-area,78,13545
clt-area,79,12600
clt-area,80,12055
clt-area,81,11880
clt-area,82,9778
clt-area,83,8416
clt-area,84+,46072
colorado-springs,0,9441
colorado-springs,1,9283
colorado-springs,2,9419
colorado-springs,3,9321
colorado-springs,4,9274
colorado-springs,5,9412
colorado-springs,6,9515
colorado-springs,7,9902
colorado-springs,8,9983
colorado-springs,9,9995
colorado-springs,10,9868
colorado-springs,11,9910
colorado-springs,12,9937
colorado-springs,13,10036
colorado-springs,14,10205
colorado-springs,15,10274
colorado-springs,16,10656
colorado-springs,17,10382
colorado-springs,18,10141
colorado-springs,19,10556
colorado-springs,20,11140
colorado-springs,21,11565
colorado-springs,22,11684
colorado-springs,23,11619
colorado-springs,24,12124
colorado-springs,25,12336
colorado-springs,26,12645
colorado-springs,27,12810
colorado-springs,28,12881
colorado-springs,29,12647
colorado-springs,30,13027
colorado-springs,31,13026
colorado-springs,32,13181
colorado-springs,33,12969
colorado-springs,34,12803
colorado-springs,35,12147
colorado-springs,36,11815
colorado-springs,37,12068
colorado-springs,38,11964
colorado-springs,39,11671
colorado-springs,40,11133
colorado-springs,41,11076
colorado-springs,42,10742
colorado-springs,43,10382
colorado-springs,44,10097
colorado-springs,45,9616
colorado-springs,46,9276
colorado-springs,47,8809
colorado-springs,48,8414
colorado-springs,49,8496
colorado-springs,50,8192
colorado-springs,51,8168
colorado-springs,52,8516
colorado-springs,53,8945
colorado-springs,54,8738
colorado-springs,55,8312
colorado-springs,56,8064
colorado-springs,57,8041
colorado-springs,58,8210
colorado-springs,59,8725
colorado-springs,60,9090
colorado-springs,61,9062
colorado-springs,62,9171
colorado-springs,63,9055
colorado-springs,64,8904
colorado-springs,65,8614
colorado-springs,66,8432
colorado-springs,67,8196
colorado-springs,68,7793
colorado-springs,69,7493
colorado-springs,70,7131
colorado-springs,71,6946
colorado-springs,72,6609
colorado-springs,73,6148
colorado-springs,74,5744
colorado-springs,75,5422
colorado-springs,76,5328
colorado-springs,77,5636
colorado-springs,78,3813
colorado-springs,79,3497
colorado-springs,80,3386
colorado-springs,81,3237
colorado-springs,82,2617
colorado-springs,83,2258
colorado-springs,84+,12858
columbia,0,8284
columbia,1,8549
columbia,2,8611
columbia,3,9016
columbia,4,8955
columbia,5,9148
columbia,6,9394
columbia,7,9548
columbia,8,9698
columbia,9,9765
columbia,10,9844
columbia,11,10005
columbia,12,9914
columbia,13,9904
columbia,14,10459
columbia,15,10698
columbia,16,11223
columbia,17,11010
columbia,18,12538
columbia,19,14446
columbia,20,14310
columbia,21,14028
columbia,22,13329
columbia,23,12943
columbia,24,11954
columbia,25,11091
columbia,26,10533
columbia,27,10410
columbia,28,10112
columbia,29,10280
columbia,30,10508
columbia,31,10922
columbia,32,11261
columbia,33,11413
columbia,34,11639
columbia,35,10861
columbia,36,10388
columbia,37,10109
columbia,38,10331
columbia,39,10301
columbia,40,10228
columbia,41,10493
columbia,42,10469
columbia,43,10208
columbia,44,10117
columbia,45,9839
columbia,46,9428
columbia,47,9311
columbia,48,9077
columbia,49,9251
columbia,50,9213
columbia,51,9389
columbia,52,9639
columbia,53,10134
columbia,54,9846
columbia,55,9399
columbia,56,9300
columbia,57,9295
columbia,58,9454
columbia,59,9626
columbia,60,9958
columbia,61,9857
columbia,62,9870
columbia,63,9687
columbia,64,9526
columbia,65,9316
columbia,66,9279
columbia,67,9156
columbia,68,8585
columbia,69,8322
columbia,70,7931
columbia,71,7521
columbia,72,7104
columbia,73,6769
columbia,74,6309
columbia,75,6248
columbia,76,6027
columbia,77,6196
columbia,78,4300
columbia,79,3989
columbia,80,3712
columbia,81,3593
columbia,82,2937
columbia,83,2561
columbia,84+,13796
columbus,0,3276
columbus,1,3303
columbus,2,3360
columbus,3,3310
columbus,4,3491
columbus,5,3596
columbus,6,3641
columbus,7,3494
columbus,8,3564
columbus,9,3706
columbus,10,3651
columbus,11,3586
columbus,12,3737
columbus,13,3678
columbus,14,3593
columbus,15,3598
columbus,16,3676
columbus,17,3787
columbus,18,3476
columbus,19,3246
columbus,20,3277
columbus,21,3343
columbus,22,3427
columbus,23,3861
columbus,24,3730
columbus,25,3706
columbus,26,3814
columbus,27,3741
columbus,28,3827
columbus,29,3972
columbus,30,4066
columbus,31,4235
columbus,32,4260
columbus,33,4178
columbus,34,4141
columbus,35,3882
columbus,36,3758
columbus,37,3756
columbus,38,3750
columbus,39,3731
columbus,40,3440
columbus,41,3552
columbus,42,3441
columbus,43,3424
columbus,44,3367
columbus,45,3124
columbus,46,3090
