NCES_district_id,state,name,event_name,start,end
3200060,NV,Clark County School District,Thanksgiving Break	,24 Nov 2021,26 Nov 2021
3200060,NV,Clark County School District,Christmas Break	,20 Dec 2021,4 Jan 2022
3200060,NV,Clark County School District,Spring Break	,14 Mar 2022,20 Mar 2022
3200060,NV,Clark County School District,Last Day of School	,25 May 2022,
3304590,NH,Manchester School District,First Day of School,2 Sep 2020,
3304590,NH,Manchester School District,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
3304590,NH,Manchester School District,Christmas Break	,24 Dec 2020,1 Jan 2021
3304590,NH,Manchester School District,MId winter Break	,22 Feb 2021,26 Feb 2021
3304590,NH,Manchester School District,Spring Break	,26 Apr 2021,30 Apr 2021
3304590,NH,Manchester School District,Last Day of School	,16 Jun 2021,
3411340,NJ,Newark Public Schools,First Day of School,8 Sep 2020,
3411340,NJ,Newark Public Schools,Fall Break,5 Nov 2020,10 Nov 2020
3411340,NJ,Newark Public Schools,Thanksgiving Break	,26 Nov 2020,27 Nov 2020
3411340,NJ,Newark Public Schools,Christmas Break	,24 Dec 2020,1 Jan 2021
3411340,NJ,Newark Public Schools,MId winter Break	,12 Feb 2021,15 Feb 2021
3411340,NJ,Newark Public Schools,Spring Break	,2 Apr 2021,9 Apr 2021
3411340,NJ,Newark Public Schools,Last Day of School	,28 Jun 2021,
3500060,NM,Albuquerque Public Schools,First Day of School,29 Jul 2020,
3500060,NM,Albuquerque Public Schools,Fall Break,8 Oct 2020,9 Oct 2020
3500060,NM,Albuquerque Public Schools,Thanksgiving Break	,23 Nov 2020,27 Nov 2020
3500060,NM,Albuquerque Public Schools,Christmas Break	,21 Dec 2020,4 Jan 2021
3500060,NM,Albuquerque Public Schools,Spring Break	,18 Mar 2021,26 Mar 2021
3500060,NM,Albuquerque Public Schools,Last Day of School	,25 May 2021,
3620580,NY,New York City School District,First Day of School,21 Sep 2020,
3620580,NY,New York City School District,Thanksgiving Break	,26 Nov 2020,27 Nov 2020
3620580,NY,New York City School District,Christmas Break	,24 Dec 2020,1 Jan 2021
3620580,NY,New York City School District,Mid winter Break	,12 Feb 2021,19 Feb 2021
3620580,NY,New York City School District,Spring Break        ,29 Mar 2021,2 Apr 2021
3620580,NY,New York City School District,Last Day of School	,25 Jun 2021,
3702970,NC,Charlotte-Mecklenburg,First Day of School,25 Aug 2021,
3702970,NC,Charlotte-Mecklenburg,Thanksgiving Break	,24 Nov 2021,26 Nov 2021
3702970,NC,Charlotte-Mecklenburg,Christmas Break	,20 Dec 2021,3 Jan 2022
3702970,NC,Charlotte-Mecklenburg,Spring Break        ,11 Apr 2022,18 Apr 2022
3702970,NC,Charlotte-Mecklenburg,Last Day of School	,10 Jun 2022,
3806780,ND,Fargo Public Schools,First Day of School,27 Aug 2020,
3806780,ND,Fargo Public Schools,Fall Break,22 Oct 2020,23 Oct 2020
3806780,ND,Fargo Public Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
3806780,ND,Fargo Public Schools,Christmas Break	,24 Dec 2020,1 Jan 2021
3806780,ND,Fargo Public Schools,Mid winter Break	,15 Feb 2021,16 Feb 2021
3806780,ND,Fargo Public Schools,Spring Break        ,15 Mar 2021,19 Mar 2021
3806780,ND,Fargo Public Schools,Last Day of School	,3 Jun 2021,
3904380,OH,Columbus City Schools,First Day of School,27 Aug 2020,
3904380,OH,Columbus City Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
3904380,OH,Columbus City Schools,Christmas Break	,21 Dec 2020,1 Jan 2021
3904380,OH,Columbus City Schools,Spring Break        ,2 Apr 2021,9 Apr 2021
3904380,OH,Columbus City Schools,Last Day of School	,3 Jun 2021,
4022770,OK,Oklahoma City Public Schools,First Day of School,9 Aug 2021,
4022770,OK,Oklahoma City Public Schools,Fall Break,11 Oct 2021,18 Oct 2021
4022770,OK,Oklahoma City Public Schools,Thanksgiving Break	,22 Nov 2021,26 Nov 2021
4022770,OK,Oklahoma City Public Schools,Christmas Break	,20 Dec 2021,31 Dec 2021
4022770,OK,Oklahoma City Public Schools,Mid winter Break	,18 Feb 2022,21 Feb 2022
4022770,OK,Oklahoma City Public Schools,Spring Break        ,14 Mar 2022,18 Mar 2022
4022770,OK,Oklahoma City Public Schools,Last Day of School	,18 May 2022,
4110040,OR,Portland Public Schools ,First Day of School,2 Sep 2020,
4110040,OR,Portland Public Schools ,Thanksgiving Break	,23 Nov 2020,27 Nov 2020
4110040,OR,Portland Public Schools ,Christmas Break	,21 Dec 2020,1 Jan 2021
4110040,OR,Portland Public Schools ,Spring Break        ,22 Mar 2021,26 Mar 2021
4110040,OR,Portland Public Schools ,Last Day of School	,11 Jun 2021,
4218990,PA,Philadelphia City School District,First Day of School,2 Sep 2020,
4218990,PA,Philadelphia City School District,Thanksgiving Break	,26 Nov 2020,27 Nov 2020
4218990,PA,Philadelphia City School District,Christmas Break	,24 Dec 2020,1 Jan 2021
4218990,PA,Philadelphia City School District,Spring Break        ,29 Mar 2021,2 Apr 2021
4218990,PA,Philadelphia City School District,Last Day of School	,11 Jun 2021,
4400900,RI,Providence Public Schools,First Day of School,3 Sep 2019,
4400900,RI,Providence Public Schools,Thanksgiving Break	,28 Nov 2019,29 Nov 2019
4400900,RI,Providence Public Schools,Christmas Break	,23 Dec 2019,1 Jan 2020
4400900,RI,Providence Public Schools,Mid winter Break	,17 Feb 2020,18 Feb 2020
4400900,RI,Providence Public Schools,Spring Break        ,10 Apr 2020,17 Apr 2020
4400900,RI,Providence Public Schools,Last Day of School	,17 Jun 2020,
4502310,SC,Greenville County Schools,First Day of School,17 Aug 2020,
4502310,SC,Greenville County Schools,Fall Break,2 Nov 2020,3 Nov 2020
4502310,SC,Greenville County Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
4502310,SC,Greenville County Schools,Christmas Break	,21 Dec 2020,1 Jan 2021
4502310,SC,Greenville County Schools,March Break,18 Mar 2021,19 Mar 2021
4502310,SC,Greenville County Schools,Spring Break        ,2 Apr 2021,9 Apr 2021
4502310,SC,Greenville County Schools,Last Day of School	,4 Jun 2021,
4666270,SD,Sioux Falls School District,First Day of School,26 Aug 2021,
4666270,SD,Sioux Falls School District,Fall Break,11 Oct 2021,12 Oct 2021
4666270,SD,Sioux Falls School District,Thanksgiving Break	,24 Nov 2021,26 Nov 2021
4666270,SD,Sioux Falls School District,Christmas Break	,23 Dec 2021,31 Dec 2021
4666270,SD,Sioux Falls School District,Mid winter Break	,21 Feb 2022,22 Feb 2022
4666270,SD,Sioux Falls School District,Spring Break        ,15 Apr 2022,18 Apr 2022
4666270,SD,Sioux Falls School District,Last Day of School	,24 May 2022,
4700148,TN,Shelby County Schools,First Day of School,10 Aug 2020,
4700148,TN,Shelby County Schools,Fall Break,12 Oct 2020,16 Oct 2020
4700148,TN,Shelby County Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
4700148,TN,Shelby County Schools,Christmas Break	,21 Dec 2020,4 Jan 2021
4700148,TN,Shelby County Schools,Spring Break        ,15 Mar 2021,19 Mar 2021
4700148,TN,Shelby County Schools,Last Day of School	,26 May 2021,
4823640,TX,Houston Independent School District,First Day of School,24 Aug 2020,
4823640,TX,Houston Independent School District,Thanksgiving Break	,23 Nov 2020,27 Nov 2020
4823640,TX,Houston Independent School District,Christmas Break	,21 Dec 2020,4 Jan 2021
4823640,TX,Houston Independent School District,Spring Break        ,15 Mar 2021,19 Mar 2021
4823640,TX,Houston Independent School District,Last Day of School	,28 May 2021,
5002820,VT,Burlington School District,First Day of School,26 Aug 2020,
5002820,VT,Burlington School District,Thanksgiving Break	,23 Nov 2020,27 Nov 2020
5002820,VT,Burlington School District,Christmas Break	,23 Dec 2020,1 Jan 2021
