,United_States,United_States_Alabama,United_States_Alaska,United_States_Arizona,United_States_Arkansas,United_States_California,United_States_Colorado,United_States_Connecticut,United_States_Delaware,United_States_District_of_Columbia,United_States_Florida,United_States_Georgia,United_States_Hawaii,United_States_Idaho,United_States_Illinois,United_States_Indiana,United_States_Iowa,United_States_Kansas,United_States_Kentucky,United_States_Louisiana,United_States_Maine,United_States_Maryland,United_States_Massachusetts,United_States_Michigan,United_States_Minnesota,United_States_Mississippi,United_States_Missouri,United_States_Montana,United_States_Nebraska,United_States_Nevada,United_States_New_Hampshire,United_States_New_Jersey,United_States_New_Mexico,United_States_New_York,United_States_North_Carolina,United_States_North_Dakota,United_States_Ohio,United_States_Oklahoma,United_States_Oregon,United_States_Pennsylvania,United_States_Rhode_Island,United_States_South_Carolina,United_States_South_Dakota,United_States_Tennessee,United_States_Texas,United_States_Utah,United_States_Vermont,United_States_Virginia,United_States_Washington,United_States_West_Virginia,United_States_Wisconsin,United_States_Wyoming
39,4968513,72148,10729,106081,42322,607689,91404,55962,14204,10977,312856,177034,20272,25893,193163,101447,43024,39959,65579,63815,20165,95187,107254,150089,83220,41948,87813,14201,27481,51342,21139,138786,28023,296712,170035,9880,179711,53632,64662,186722,15105,78983,11117,105230,455337,41820,8786,135030,119801,25979,83999,8222
40,4963848,70139,10996,107260,42200,631351,92413,57135,14519,11385,316546,173792,21668,24196,191313,99226,43841,39959,63666,64255,19818,94470,107327,146703,80515,41609,85943,13241,26994,52027,21233,141890,28717,307692,166744,9594,168349,55082,64060,179223,15462,75117,11183,101907,450578,41721,9000,131802,123937,26612,82250,8020
41,4702592,67298,10201,99332,39214,593277,86660,55888,13804,9627,301785,163241,18956,23988,181881,93675,41177,39542,61589,61385,19907,89975,103310,142307,79306,38789,81743,13497,26078,48006,21476,134952,26348,285533,154720,9874,164378,48492,59081,181860,15476,73857,10626,97166,412006,38119,8649,126721,114790,24641,79645,7509
42,4614619,65497,10215,94450,38529,573988,80457,53949,13419,9277,288892,157818,18727,22917,183268,91271,40935,37284,62890,60649,19812,93146,102697,141782,78170,37704,81243,12886,24819,43695,22027,136259,24972,286487,154964,9281,163398,50607,55469,179883,16381,72152,10893,96328,397784,37068,8947,124816,108554,24331,82299,7343
43,4602622,66226,9844,92950,39214,547601,80056,56541,13761,8925,292901,159682,19372,22193,181444,92930,41919,36854,64029,60305,20260,94021,107955,143169,80025,38425,79992,13291,24637,42709,22204,138333,25657,280877,151653,9285,164881,48749,54857,186364,17145,68871,11380,96183,397839,37461,9289,125433,105548,24554,83533,6908
44,4746579,71648,10431,92979,39509,569399,80274,60142,14332,9703,314815,164046,20295,21681,184579,96443,42165,39002,66249,62677,20536,96426,112089,146535,83172,39433,84324,13786,25487,43402,22236,142412,26041,291580,157499,9649,168199,51508,54480,193533,17120,70164,11552,100389,403872,34968,9826,133213,101873,24355,86552,7545
45,5019831,74522,11175,102481,43911,592631,86088,62036,15014,10055,328984,170295,21912,23292,195630,104441,45729,42850,70450,69268,22690,101747,118603,151393,85947,44259,89103,14684,27572,46958,25537,148391,27863,308407,162899,10441,178579,56098,58955,204658,18823,75899,12646,107093,421248,37020,10312,140870,115299,27305,93748,8003
46,5061151,76530,10769,100688,44711,593062,86575,64435,14993,10162,336866,168410,21579,24624,195836,105256,48201,43015,70018,69994,22298,104250,116646,160458,88568,42300,95147,15606,28241,46425,24571,147798,29124,307255,166856,10389,180841,57824,59197,203916,17662,76497,13753,106820,426782,36736,10868,141611,113899,26019,93886,8237
47,5118468,75926,11302,102291,44436,606470,92436,61294,14861,10418,341513,165571,21822,25525,193703,101475,47865,44365,72181,70071,23496,101200,118530,163655,91572,43678,99071,16835,29814,47442,24821,153202,31907,306937,165878,11649,182199,59673,61318,202131,17890,79516,13711,106184,429936,38619,10797,141505,119483,26736,96062,8896
48,5172451,76031,12339,105469,44967,611561,91805,60307,15222,10506,336911,165804,20803,26850,200128,103977,50131,47231,71071,71363,23998,102586,117435,163740,96011,45272,100177,18237,29264,46524,26123,152034,33210,312984,164833,12051,185064,60531,62622,209987,17347,79385,13709,104769,437684,38860,10964,142563,118768,26095,97911,8785
49,5205109,75551,12407,103719,47499,595069,94687,62163,16520,9993,343472,164152,20595,26295,199845,106732,50796,47833,73090,71555,23679,103218,116763,167841,98296,44840,104918,17950,30421,46542,25880,152348,33598,319548,165766,12941,192479,59873,62927,212459,17927,82753,14077,110218,425011,39888,11707,141929,122315,26903,100441,8978
50,5281752,76874,13333,107363,46377,614931,94760,63559,15500,10534,339600,165444,22115,26525,205242,107729,52294,47046,73137,74645,23776,104493,118209,168409,99613,45532,103297,18731,31437,47356,25758,155259,33396,326590,167323,12559,195142,61231,63754,219161,18430,82069,14735,108367,437795,40552,11253,142175,121090,27389,99346,9952
51,5091143,75510,11906,102248,45423,570116,91865,62238,15306,9456,328529,160402,20510,24871,197943,106128,49609,44384,72975,71334,24348,101675,113637,170070,97159,44755,99453,18021,31057,43726,26407,149228,31950,309841,161010,12327,193509,58440,63089,213997,16944,78788,13252,106647,420030,38326,11526,135877,119992,28177,98767,9810
52,5206442,76634,12615,102379,45346,607904,90893,61992,16553,9904,330305,160508,21727,25798,201979,110133,49952,45697,70966,72865,24482,101845,117435,174844,96454,45617,99637,19252,30747,44130,25268,149612,32787,319150,161877,13472,198938,62422,67305,223665,18349,79809,14201,107934,418149,39463,11577,138259,125067,30267,97724,10125
53,4996504,77675,11893,100863,44206,564881,90431,60091,15478,9243,326022,156207,22502,24641,193909,107027,49870,43930,69073,69994,24713,97216,109021,168935,88891,45120,95107,18290,30483,43713,24837,143109,31963,305664,153675,13080,192052,59673,65111,211525,18451,76670,13705,104205,391807,37379,12046,134536,119054,30403,93836,9705
54,4922527,74875,11345,97292,43405,568825,84617,59764,14102,9361,315817,151228,22312,24765,191955,103780,48819,42248,70267,69105,25185,94167,109841,164917,86259,42943,90815,18443,29644,42618,23869,135701,32753,303196,153586,12717,189789,57923,67331,210701,17063,76648,14119,104479,387490,35822,11922,134378,121248,28870,91093,10024
55,4853214,74657,12190,96243,43629,551975,83509,55784,14371,9261,313038,147499,21787,24299,185583,103626,48805,44224,68966,67393,23964,94167,108641,159196,84919,43798,88932,17978,27960,44136,23914,137166,31298,306539,148385,12613,187401,58273,67673,205784,16748,75649,13208,101025,386716,36726,11237,126881,122410,29507,91483,9740
